"exercise_id","exercise_name","muscle_group","max_priority","risk_regions","movement_patterns","source_packages","suggested_contraindications","suggested_pain_limitation_tags","suggested_regressions","suggested_equivalent_substitutes","suggested_progressions","suggested_equipment","conflict_notes","reviewer_status","reviewer_name","reviewed_at","reviewer_notes","approval_decision_reason","ready_for_upsert"
"c8221a75-a074-4b35-8ec9-0b40a3b58646","Bird dog de ativação","Ativação","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"399b6084-25de-43ca-827c-20d746c0dbe0","Dead bug de ativação","Ativação","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"99ec0aac-513c-46ce-b780-68183bc8cdbd","Bird dog","Controle Motor","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"4c1d784b-f68b-4eb3-b6b8-962733b0d4a8","Dead bug","Controle Motor","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"492b16f9-0ca8-4d87-a233-20a106b4a532","Bird dog","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"1aed1cd3-3781-4f5b-b1a6-cacef13b34f9","Bird dog com mini band","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"b25cec38-45f8-4a92-8baa-fe0f449fd307","Body saw na prancha","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"7caad9cc-dce4-40b5-a9c7-455c7853570e","Cable crunch (abdominal na polia)","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"b166a655-c9b0-4c7d-bd42-4f7ed3f384c1","Copenhagen plank","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"cba7692e-3f67-4212-95f7-96bfcbe3753d","Dead bug","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"cd97f513-28aa-489c-9cd3-af81e703af74","Dead bug com mini band","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"aa18098a-e639-4618-9063-e760c9cebcae","Hollow hold","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"2f67aed2-e788-4b85-a50d-093511dbd717","Hollow rock","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"15970175-ecdc-42be-8d48-eed24c8db1a6","Pallof press com banda","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"aa122a11-23c8-4ce3-819e-479676a85f86","Pallof press isométrico","Core","P3","","core","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
