"exercise_id","exercise_name","muscle_group","max_priority","risk_regions","movement_patterns","source_packages","suggested_contraindications","suggested_pain_limitation_tags","suggested_regressions","suggested_equivalent_substitutes","suggested_progressions","suggested_equipment","conflict_notes","reviewer_status","reviewer_name","reviewed_at","reviewer_notes","approval_decision_reason","ready_for_upsert"
"dece41a1-f793-4bc4-b614-b2c22b4caf6f","Terra romeno unipodal com bastão","Controle Motor","P1","low_back","quadril_dominante","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"810fcad7-7b7d-47e0-895e-1eb45aa2e852","Terra romeno unipodal (single-leg RDL)","Estabilidade","P1","low_back","quadril_dominante","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"e7f34a26-20b8-4d7c-bd8b-1d6a0c2ff97a","Fisio Posterior: terra romeno unipodal lento (HSR)","Fisioterapia","P1","low_back","quadril_dominante","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"d65552e0-a929-4a03-9be0-0bb86899e428","Kettlebell swing","Funcional","P1","low_back","quadril_dominante","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"b431d92e-8371-43bc-b580-cf9572493f8a","Good morning","Peso Livre","P1","low_back","quadril_dominante","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"f0cf83a8-0bf6-4e3f-aa65-fb7fb7b81aee","Levantamento terra","Peso Livre","P1","low_back","quadril_dominante","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"6163ca32-b640-4c24-aa1f-860ca50be982","Remada curvada com barra","Peso Livre","P1","low_back","quadril_dominante","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"490b2080-ea0b-40bf-85bc-8613544d4140","Stiff","Peso Livre","P1","low_back","quadril_dominante","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"6b34cc78-f024-4f8c-970b-2b90dda2870c","Terra romeno","Peso Livre","P1","low_back","quadril_dominante","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
"39cd91ca-af97-43a3-85ad-25d47721db10","Terra sumô","Peso Livre","P1","low_back","quadril_dominante","catalog_delta","","","","","","","sem metadata: contraindications/pain tags/substitutos/regressoes a definir pelo revisor (nunca inventar) | sem target primario: confirmar musculo-alvo","needs_review","","","","","false"
